Title,Category,Genre,Description,Poster_URL
Dhurandhar,Bollywood,"Action, Thriller","In the early 2000s, an Indian undercover operative infiltrates Karachi's underworld, breaking into its inner circle to dismantle a violent nexus from within.",/static/images/1291608.jpg
Border 2,Bollywood,"Action, Drama","During the events of the 1971 Indo-Pak war, a new generation of young Indian warriors were getting ready to defend the nation from an even bigger threat to the Indian motherland.",/static/images/1213898.jpg
Shahenshah,Bollywood,Action,"Inspector Srivastav is framed by a wily and cunning gangster, J.K., and unable to prove his innocence, hangs himself, leaving behind his wife, and son, Vijay. Years later, Vijay has grown up and has joined the police force as an Inspector. Unlike his dad, he is corrupt and does accept bribes to turn a nelson's eye to crime. The City Police are assigned the task of apprehending a customed man called ""Shahenshah"", who operates at night and targets, tries and kills gangsters in a ""Judge and Executioner ""style. No one knows the real identity of Shahenshah, as he is feared by the police department, and respected by the poor and middle-class.",/static/images/62201.jpg
Jamai Raja,Bollywood,"Drama, Comedy","The conflict between Mother-in-law and Daughter-in-law is very common in every family. But in our exemplary story, there is a conflict between Mother-in-law and Son-in-law. Millionaire Durgeshwari Devi is a very stubborn and proud lady. She has two sons, who are employed in her factory. Her pet daughter Rekha is studying in a medical college in Bombay. Everybody is scared of Durgeshwari in the house. In Raja's house, his mother Devki and his adopted sister Indu are staying. It is a co-incidence that he falls in love with Rekha. When this news is conveyed to Durgeshwari by her Secretary Shakti, she get enraged. Raja marries Rekha secretly. Durgeshwari has to accept Raja as her son-in-law and invites him along with her daughter to stay in her house. But it is her keen desire that Rekha must be separated from Raja and she tries her best to create hatred between them. But truth prevails. During the events that are unfolded, Durgeshwari finally accepts Raja as her son-in-law.",/static/images/213855.jpg
Rahul,Bollywood,Drama,"Mira (Neha) comes from a very wealthy family, however, she wants to get married to Akash Sharma (Jatin Grewal), who is not so wealthy. Against the wishes of her mother and brother, Mira gets married to Akash. The bad memories are left behind when Mira's family finally ""forgives"" them, at the birth of baby-boy, Rahul (Yash Pathak). With the family with such a acrimonious past, coming together, their marriage deteriorates, to such an extent that they have to involve the police and the courts for purposes of custody. The only obstacle coming between the couple from getting married again to different people are marred by Rahul, who is unable to accept his parents' divorce.",/static/images/304139.jpg
War 2,Bollywood,"Action, Adventure, Thriller","Years ago Agent Kabir went rogue, became India’s greatest villain ever.  As he descends further into the deepest shadows... India sends its deadliest, most lethal agent after him, Agent Vikram  A Special Units Officer who is more than Kabir’s equal and a relentless Terminator driven by his own demons, determined to put a bullet into Kabir’s skull.",/static/images/1109086.jpg
Qahar,Bollywood,Drama,"Inspector Amar faces a dilemma when he catches two criminals, Raja and Krishna, who are also battling corruption and crime in their respective ways.",/static/images/276014.jpg
Tere Ishk Mein,Bollywood,"Romance, Drama, Action","A psychology student attempts to rehabilitate a volatile young man, before evolving into a doomed romance.",/static/images/1142921.jpg
Andaz,Bollywood,Drama,"Andaz or Andaaz is a 1971 Hindi romantic movie starring Shammi Kapoor, Rajesh Khanna, Hema Malini and Simi Garewal. The film was directed by Ramesh Sippy. The film was a considerable success and important in the career of Malini as an actress.",/static/images/268941.jpg
Dhaal,Bollywood,"Action, Drama","Varun and Suraj are best friends. But when police inspector Varun arrests Suraj for a crime he didn't commit, it leaves Suraj crestfallen and feeling betrayed. Soon Varun too is framed and imprisoned.",/static/images/302471.jpg
Harjaee,Bollywood,Romance,"Ajay Nath comes from a wealthy family, and is prone to playing practical jokes and pranks in order to get his way with this mother and father. In one case he asked one of their family doctors', Dr. Panjabi, to lie to his dad that he has cancer, so that he can accompany his college friends to a outing to Kashmir. He falls in love with fellow collegian Geeta Chopra, who is in love with Shyam. But Ajay's dad, fooled by his illness convinces her to be kind to him, and she becomes friendly with Ajay, both eventually fall in love with each other and want to get married. Then their family gets the news that Ajay really has cancer and has only a few more months to live. Under the changed circumstances, both the Nath and Chopra families are against the marriage of Ajay and Geeta. Will Ajay and Geeta get married? Does Ajay really have cancer or is this another prank?",/static/images/619002.jpg
Mrityudaata,Bollywood,"Action, Drama","Dr Ram Prasad Ghayal (Amitabh) is a surgeon whose scalpel proves to be a magic wand. He has a wife called Janaki (Dimple) and a brother called Bharat. Bharat is in love with a dancing doll Renu (Karishma) whom the baddie's brother (Deepak Tijouri) also loves. Bharat, an architect refuses to sign a power project involving heavy kickbacks and heavier displacement (with so many scams in the air, what can one expect the plot to be). He is implicated in a plot and sent to jail. Unable to bear this humiliation, he commits suicide and Renu marries Deepak instead of repenting her beloved's loss. Now is the time for our 'Mrityudaata' to avenge the loss of his wife and his brother. He trades his scalpel for a machine gun and apron for a commando coat and cap.",/static/images/348166.jpg
Amar Shakti,Bollywood,"Action, Adventure, Comedy","In order to take over the kingdom, Shamsher Singh and Nahar Singh kill Yuvraj Gopal Singh and his wife, Roopa. The news of these deaths shocks the Maharaj who becomes seriously ill, but instead of treating him, the duo, with the help of the Hakim, poison him. They also believe that the heirs of this Kingdom, two young boys, Bada and Chhota Kumar, are also dead - paving the way for Shamsher to crown himself king. Years later Shamsher is still king, and has a daughter, Sunita, who he wants to get married to Kunver Ranjit Narayan Singh of Kishanganj. Shamsher does not know that the Bada and Chhota Kumars are still alive, while Shakti was taken in by a tribe of gypsies, Amar lives with his palace nanny, Leela, and believes she is his mother. The two princes will meet soon, not as friends and brothers though, but as enemies.",/static/images/304517.jpg
Muavza,Bollywood,"Drama, Comedy",A seasoned conman tricks five obnoxiously rich brothers into splurging all of their wealth with the promise that he will help them sell off their acres of land to builders at a sky-high rate.,/static/images/487944.jpg
Aamir,Bollywood,Thriller,A doctor of Indian origin returning to Mumbai from London is forced to participate in a terrorist plot.,/static/images/13123.jpg
Ishq,Bollywood,"Comedy, Romance, Drama, Action","The children of two wealthy businessman fall in love with someone from a poor background, much to their parents' disapprovals.",/static/images/29988.jpg
Taaqatwar,Bollywood,Drama,"Amar Sharma, an honest police officer, seeks help from John, a criminal, in a bid to nab the gangster who is responsible for his father's death.",/static/images/410266.jpg
Gawaahi,Bollywood,"Drama, Mystery, Crime","Jhanvi Kaul is on trial for the murder of her lover and employer, Ranjeet Choudhary. A series of prosecution witnesses build a damning case against her - that the two of them had embezzled large sums of money, that she had another lover who is also a local goon and that a witness even saw her throwing the body of Ranjeet over her apartment balcony.",/static/images/620474.jpg
Munimji,Bollywood,"Comedy, Romance","Roopa lives a wealthy lifestyle with her widowed dad, Captain Suresh, and brother, Shekhar. After she returns from abroad, she is told that she must now prepare to get married to her betrothed, Ratan, who is the son of a close friend of Suresh. Everything changes suddenly when Roopa meets with a handsome young man, Raj, and both fall in love with each other.",/static/images/304330.jpg
Safia/Safdar,Bollywood,"Drama, Romance","When Salman falls ill, his saloon is at stake as the local moneylender wants it. The only person standing in the way is Salman's daughter, Safia. Will she be able to keep the salon running as Safdar?",/static/images/1616993.jpg
Heroes,Bollywood,"Action, Adventure, Comedy","Havaldar Balkar Singh, Captain Dhananjay Shergill and Lieutenant Sahil Naqvi are amongst numerous fatalities on India's side in the 1999 Kargil war against Pakistan. All 3 men had written their last letters to Kuljeet Kaur, Squadron Leader Vikram Singh, and Dr. Naqvi respectively. These letters were located 3 years later by IBN Reporter, Avinash Sarin, who entrusts them to two Indore-based slackers, Ali Shah and Sameer Suri, and asks them to deliver them to Chandigarh, Manali, and Leh respectively. Ali and Sameer set out to film this journey in order to get a graduation degree so that they can re-locate to America as well as televise it widely in order to convince the youth not to join any of India's armed forces.",/static/images/20563.jpg
Taaqat,Bollywood,Drama,"Two powerful and strong-armed gangsters work for opposite political parties. Bhau works for Anil Rege, while Shakti works for Babbanrao. Both believe that that these two political leaders will provide a better life for the poor and the needy. Their hopes are dashed when both Anil and Babban patch up their differences, and decide to unite, and lead a corrupt life-style, while pitting both the gangsters against each other.",/static/images/302934.jpg
Izzatdaar,Bollywood,"Action, Crime","Brahm Dutt (Dilip Kumar) is set up and framed for a murder for which he is jailed, because of his scheming son-in-law, Raghuvaran (Indrajeet Sabharwal).  His Daughter Sonu (Swapna) is also killed at the hands of Raghuvaran, when Raghuvaran slaps and tries to molest Mohini (Madhuri Dixit), when she confronts him about his evil deeds.  Brahm Dutt avenges the death of his daughter and the years spent in prison.  Against this backdrop, Vijay (Govinda) is a man who works for the underworld after he is shot as a child. After finding love with Mohini, he changes his ways and joins up with Brahm Dutt to take revenge as he too has been wronged by the same group of villains.",/static/images/118807.jpg
Raajneeti,Bollywood,"Drama, Thriller","It is the story of a fiercely fought election campaign, where money power and corruption are the accepted norms, and where treachery and manipulation are routinely used weapons. As the personal drama of these conflict-ridden characters unfolds against this gritty backdrop, love and friendship become mere baits, and relationships get sacrificed at the altar of political alignments. The darkness that rises from their souls threatens to envelope all that they hold precious. Until eventually, in the crescendo of increasing violence, the line between good and evil blurs, making it impossible to distinguish heroes from villains. Raajneeti is the story of Indian democracy. And its ugly underside. It is about politics. And beyond.",/static/images/37951.jpg
Sweet Dreams,Bollywood,"Romance, Drama","A tale that blurs the line between fantasy and reality, Sweet Dreams captures the magic of serendipity and the intensity of love that transcends the ordinary. It’s a film that asks: do we find love by chance, or does love find us? The answer might just lie in the dreams we dare to dream.",/static/images/1400553.jpg
Jaago,Bollywood,"Crime, Drama, Thriller","Jagoo tells the heart-wrenching story of a 10-year-old girl named Shruti, who must take the train to school every day. One day, while on the train, Shruti is attacked and raped by drug addicts. The entire town is absolutely stunned by this brutal act. Traumatized by her ordeal, Shruti clings to life while her parents, Srikant and Shraddha, grieve and hope for her survival. Everyone wants the perpetrators caught, but can they be found?",/static/images/312681.jpg
Happy Patel: Khatarnak Jasoos,Bollywood,"Comedy, Action, Romance","Happy Patel, a chronically unsuccessful MI7 operative, is finally assigned a mission in Goa, where he uncovers his Indian roots and must rescue a high-profile scientist from crime lord Mama. Unaware of his Indian heritage and armed with a comically British accent, Happy’s blunders trigger a string of chaotic mishaps that could lead him to expose a criminal network.",/static/images/1282440.jpg
Andaz,Bollywood,"Action, Comedy, Romance","Jaya has a crush on her married teacher and befriends his wife. When Jaya's father dies, the teacher's wife asks her to live with them.",/static/images/302876.jpg
Om,Bollywood,Horror,Indian remake of “The Omen”.,/static/images/1365046.jpg
Tezaab,Bollywood,Drama,"Mahesh Deshmukh has joined the nation's armed forces as that he can honestly and patriotically serve the country. During his college days he has a run-in with fellow-collegian Mohini. A bet between his friends and himself ends up with him falling in love with Mohini, who subsequently realizes that he indeed has fallen in love with her, and she too reciprocates. Mohini's dad is an alcoholic and wishes that Mohini takes up dancing and prostitution so that he can get his daily dose of alchol. Mohini attempts to take refuge with Mahesh, however, cirumstances tangle Mahesh to such an extent that he is arrested, charged, and sentenced to stay away from Bombay city limits. When Mahesh returns, it is no longer the honest, and patriotic Mahesh, but a gangster named Munna, who has many old scores to settle.",/static/images/61271.jpg
Sajni,Bollywood,Drama,"Nanda, a money lender's son, falls for farmer's daughter Rupa. His father arranges his marriage to Radha for a dowry. Rupa sacrifices her love and blesses Nanda's marriage to Radha.",/static/images/1515134.jpg
Sitaare Zameen Par,Bollywood,"Comedy, Drama",A disgraced basketball coach is given the chance to coach a team of players who are intellectually disabled as part of community services. Gulshan has apprehensions at first and feels out of place but soon realizes they just might have what it takes to make it to the national championships.,/static/images/1190511.jpg
Abodh,Bollywood,Drama,"Shankar is married to Gauri, but she has the brain of a child and does not accept him as her husband. She changes her behaviour and lives the life of a wife after attending the wedding of her friend.",/static/images/605853.jpg
Ittefaq,Bollywood,"Crime, Mystery, Thriller","Taking place almost entirely over the course of one stormy night, a woman is terrified when an accused murderer escapes from a mental hospital and seeks refuge in her home.",/static/images/166874.jpg
